<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIVE.US,D,20250916,000000,25.1,25.1,25.0096,25.0411,3307,0
DIVE.US,D,20250917,000000,25.085,25.21,24.95,25.0778,9979,0
DIVE.US,D,20250918,000000,25.11,25.22,25.11,25.1778,2280,0
DIVE.US,D,20250919,000000,25.1863,25.1863,25.12,25.1685,2441,0
DIVE.US,D,20250922,000000,25.11,25.1421,25.11,25.1421,1010,0
DIVE.US,D,20250923,000000,25.31,25.31,25.1138,25.1138,212,0
DIVE.US,D,20250924,000000,25.12,25.1395,25.12,25.1258,2146,0
DIVE.US,D,20250925,000000,24.93,24.93,24.93,24.93,169,0
DIVE.US,D,20250930,000000,25.039,25.0738,25.039,25.0738,2298,0
DIVE.US,D,20251001,000000,25.14,25.1456,25.14,25.1456,5345,0
DIVE.US,D,20251003,000000,25.27,25.33,25.24,25.24,12156,0
DIVE.US,D,20251006,000000,25.2,25.2,25.1959,25.1959,748,0
DIVE.US,D,20251007,000000,25.12,25.12,25.0237,25.0237,416,0
DIVE.US,D,20251008,000000,25,25.14,25,25.0631,14358,0
DIVE.US,D,20251009,000000,24.985,25,24.985,24.9859,18414,0
DIVE.US,D,20251010,000000,25.05,25.05,24.5559,24.5559,19518,0
DIVE.US,D,20251013,000000,24.66,24.69,24.6,24.6851,30006,0
DIVE.US,D,20251014,000000,24.9,24.97,24.9,24.9311,19124,0
DIVE.US,D,20251015,000000,25.03,25.03,24.86,24.9334,18282,0
DIVE.US,D,20251016,000000,24.95,24.95,24.6177,24.6177,20188,0
DIVE.US,D,20251017,000000,24.69,24.7596,24.69,24.7596,19732,0
DIVE.US,D,20251020,000000,25.0304,25.12,25,25.0849,27213,0
DIVE.US,D,20251021,000000,24.9205,25.0852,24.91,25.0852,22449,0
DIVE.US,D,20251022,000000,25.13,25.13,25.0608,25.0608,18465,0
DIVE.US,D,20251023,000000,25.17,25.25,25.1066,25.1857,21884,0
DIVE.US,D,20251024,000000,25.35,25.35,25.2332,25.2463,24816,0
DIVE.US,D,20251027,000000,25.32,25.34,25.3182,25.3182,18898,0
DIVE.US,D,20251028,000000,25.19,25.34,25.1637,25.1637,26841,0
DIVE.US,D,20251029,000000,24.57,24.63,24.37,24.37,61905,0
DIVE.US,D,20251030,000000,24.49,24.49,24.28,24.2902,20520,0
DIVE.US,D,20251031,000000,24.2323,24.34,24.19,24.2994,32838,0
DIVE.US,D,20251103,000000,24.07,24.28,24.03,24.2539,20684,0
DIVE.US,D,20251104,000000,24.01,24.11,24.01,24.0836,20394,0
DIVE.US,D,20251105,000000,24.07,24.27,24.07,24.2343,39821,0
DIVE.US,D,20251106,000000,24.05,24.05,24.0232,24.0232,948,0
DIVE.US,D,20251107,000000,23.99,24.26,23.96,24.2583,8706,0
DIVE.US,D,20251110,000000,24.2504,24.42,24.22,24.3863,974,0
DIVE.US,D,20251111,000000,24.45,24.65,24.45,24.6481,686,0
DIVE.US,D,20251112,000000,24.74,24.74,24.6717,24.6717,830,0
DIVE.US,D,20251113,000000,24.6344,24.641,24.4751,24.4751,1749,0
DIVE.US,D,20251114,000000,24.31,24.42,24.31,24.3333,3136,0
DIVE.US,D,20251117,000000,24.04,24.06,24.04,24.06,1174,0
DIVE.US,D,20251118,000000,23.9904,24.1114,23.9904,24.1114,533,0
