<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FJET.US,D,20251222,000000,7.69,31.5,7.57,31.5,49860800,0
FJET.US,D,20251223,000000,22.5,22.89,12.75,12.94,14744944,0
FJET.US,D,20251224,000000,14.15,15.88,12,12.4,8571975,0
FJET.US,D,20251226,000000,12.04,18.2,12.03,14.68,23971304,0
FJET.US,D,20251229,000000,14.35,16.1,12.75,12.91,3485506,0
FJET.US,D,20251230,000000,13.31,13.5753,12.65,13.15,2100094,0
FJET.US,D,20251231,000000,13.1246,13.5,11.26,11.65,1913563,0
FJET.US,D,20260102,000000,11.48,11.65,9.0101,10.4,3966868,0
FJET.US,D,20260105,000000,10.46,10.51,8.75,9.39,3320226,0
FJET.US,D,20260106,000000,9.2996,11.35,8.83,10.57,5081556,0
FJET.US,D,20260107,000000,10.84,11.6,10.01,10.27,1774151,0
FJET.US,D,20260108,000000,10.22,12.45,9.8,11.64,2635217,0
FJET.US,D,20260109,000000,11.81,12.1515,11.06,11.85,1275597,0
FJET.US,D,20260112,000000,11.65,14.4,11.5,12.84,2493735,0
FJET.US,D,20260113,000000,13.3099,13.3499,11.62,12.04,1456025,0
FJET.US,D,20260114,000000,11.97,12.3899,10.88,11.44,1298933,0
FJET.US,D,20260115,000000,11.25,11.43,10.71,11.12,766470,0
FJET.US,D,20260116,000000,11.01,11.7499,10.52,10.54,1090966,0
FJET.US,D,20260120,000000,10.25,10.95,10,10.16,694661,0
FJET.US,D,20260121,000000,10.2,10.44,9.59,10.39,517476,0
FJET.US,D,20260122,000000,10.425,10.84,10.13,10.15,360941,0
FJET.US,D,20260123,000000,10.16,11.7799,10.0012,10.65,1237859,0
