<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSAA.US,D,20250807,000000,10.32,10.32,9.82,10.005,153262,0
BSAA.US,D,20250808,000000,10,10.01,10,10.01,1236,0
BSAA.US,D,20250811,000000,10.01,10.01,10.01,10.01,15014,0
BSAA.US,D,20250813,000000,10.0092,10.01,10.0014,10.01,6201,0
BSAA.US,D,20250815,000000,10.015,10.015,10.01,10.01,23700,0
BSAA.US,D,20250818,000000,10,10.01,10,10.01,24400,0
BSAA.US,D,20250819,000000,10.01,10.01,10.01,10.01,126002,0
BSAA.US,D,20250820,000000,10,10.005,9.99,10,298750,0
BSAA.US,D,20250821,000000,10.01,10.01,10.005,10.01,10588,0
BSAA.US,D,20250822,000000,10.02,10.02,10,10,91551,0
BSAA.US,D,20250825,000000,10.01,10.01,10,10,88407,0
BSAA.US,D,20250826,000000,10.01,10.01,10,10,50591,0
BSAA.US,D,20250827,000000,10.02,10.02,10,10,179985,0
BSAA.US,D,20250828,000000,10.03,10.03,10.02,10.02,5444,0
BSAA.US,D,20250829,000000,10.03,10.03,10.03,10.03,4129,0
BSAA.US,D,20250902,000000,10.03,10.03,10.03,10.03,1032,0
BSAA.US,D,20250903,000000,10,10.03,10,10.03,40030,0
BSAA.US,D,20250905,000000,10.02,10.02,10.02,10.02,15706,0
BSAA.US,D,20250908,000000,10.03,10.03,10.0251,10.0251,4729,0
BSAA.US,D,20250910,000000,10.02,10.03,10.02,10.03,18547,0
BSAA.US,D,20250915,000000,10.0376,10.0376,10.0376,10.0376,567,0
BSAA.US,D,20250918,000000,10.035,10.04,10.035,10.04,7000,0
BSAA.US,D,20250919,000000,10.04,10.04,10.04,10.04,2021,0
BSAA.US,D,20250922,000000,10.035,10.05,10.035,10.045,10667,0
BSAA.US,D,20250923,000000,10.035,10.04,10.035,10.04,16054,0
BSAA.US,D,20250924,000000,10.04,10.04,10.04,10.04,5026,0
BSAA.US,D,20250925,000000,10.04,10.04,10.04,10.04,64511,0
BSAA.US,D,20250926,000000,10.05,10.05,10.04,10.05,8125,0
BSAA.US,D,20250929,000000,10.05,10.05,10.05,10.05,2301,0
BSAA.US,D,20251002,000000,10.25,10.25,10.0481,10.0481,16402,0
BSAA.US,D,20251003,000000,10.05,10.06,10.05,10.05,14819,0
BSAA.US,D,20251006,000000,10.05,10.06,10.05,10.06,22235,0
BSAA.US,D,20251007,000000,10.06,10.06,10.06,10.06,225,0
BSAA.US,D,20251008,000000,10.06,10.11,10.0592,10.11,159703,0
BSAA.US,D,20251009,000000,10.07,10.1,10.07,10.1,9297,0
BSAA.US,D,20251016,000000,10.1,10.1,10.1,10.1,7600,0
BSAA.US,D,20251023,000000,10.11,10.11,10.11,10.11,121,0
BSAA.US,D,20251024,000000,10.11,10.11,10.11,10.11,222,0
BSAA.US,D,20251027,000000,10.11,10.11,10.11,10.11,2242,0
BSAA.US,D,20251029,000000,10.1,10.1,10.1,10.1,18868,0
BSAA.US,D,20251030,000000,10.11,10.11,10.11,10.11,488,0
BSAA.US,D,20251031,000000,10.11,10.13,10.11,10.13,1061,0
BSAA.US,D,20251103,000000,10.14,10.14,10.14,10.14,149,0
BSAA.US,D,20251106,000000,10.09,10.1,10.09,10.1,45982,0
BSAA.US,D,20251110,000000,10.1,10.1,10.1,10.1,200,0
BSAA.US,D,20251112,000000,10.1,10.1,10.1,10.1,3870,0
BSAA.US,D,20251113,000000,10.1,10.1,10.1,10.1,26001,0
BSAA.US,D,20251125,000000,10.1087,10.1087,10.1,10.1,43890,0
BSAA.US,D,20251126,000000,10.1,10.1012,10.0999,10.1,113101,0
BSAA.US,D,20251128,000000,10.1198,10.15,10.1198,10.15,10211,0
BSAA.US,D,20251202,000000,10.12,10.14,10.1,10.11,59312,0
BSAA.US,D,20251203,000000,10.09,10.09,10.09,10.09,200,0
BSAA.US,D,20251204,000000,10.1,10.118,10.1,10.118,9448,0
BSAA.US,D,20251205,000000,10.11,10.11,10.09,10.11,28551,0
BSAA.US,D,20251209,000000,10.11,10.11,10.11,10.11,111,0
BSAA.US,D,20251211,000000,10.121,10.13,10.11,10.11,12683,0
BSAA.US,D,20251212,000000,10.11,10.12,10.1,10.12,5608,0
BSAA.US,D,20251215,000000,10.11,10.11,10.095,10.095,108277,0
BSAA.US,D,20251222,000000,10.1,10.1,10.1,10.1,104,0
BSAA.US,D,20251223,000000,10.1,10.1,10.1,10.1,125,0
BSAA.US,D,20251229,000000,10.1,10.1,10.1,10.1,133,0
BSAA.US,D,20251230,000000,10.13,10.13,10.13,10.13,999,0
BSAA.US,D,20260105,000000,10.12,10.12,10.12,10.12,109,0
BSAA.US,D,20260106,000000,10.12,10.16,10.12,10.16,301620,0
BSAA.US,D,20260107,000000,10.17,10.19,10.17,10.19,1347,0
BSAA.US,D,20260115,000000,10.17,10.17,10.17,10.17,115,0
BSAA.US,D,20260116,000000,10.19,10.19,10.17,10.17,200,0
BSAA.US,D,20260120,000000,10.18,10.18,10.18,10.18,209,0
BSAA.US,D,20260121,000000,10.18,10.19,10.18,10.18,1855,0
BSAA.US,D,20260122,000000,10.19,10.19,10.18,10.18,300,0
BSAA.US,D,20260123,000000,10.19,10.19,10.18,10.18,8170,0
