<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XLVI.US,D,20250731,000000,24.63,24.73,24.2015,24.2015,5107,0
XLVI.US,D,20250801,000000,24.31,24.3612,24.31,24.3612,439,0
XLVI.US,D,20250804,000000,24.55,24.6874,24.4301,24.6874,1873,0
XLVI.US,D,20250805,000000,24.63,24.63,24.585,24.6129,893,0
XLVI.US,D,20250806,000000,24.42,24.42,24.279,24.279,637,0
XLVI.US,D,20250807,000000,23.9192,23.973,23.9192,23.973,564,0
XLVI.US,D,20250808,000000,24.15,24.2233,24.15,24.2233,210,0
XLVI.US,D,20250811,000000,24.4,24.4,24.23,24.2302,2149,0
XLVI.US,D,20250812,000000,24.37,24.3957,24.292,24.3957,1520,0
XLVI.US,D,20250813,000000,24.68,24.7934,24.48,24.7934,1256,0
XLVI.US,D,20250814,000000,24.81,24.872,24.81,24.872,366,0
XLVI.US,D,20250815,000000,25.02,25.1,25.01,25.0946,786,0
XLVI.US,D,20250818,000000,25.16,25.16,25.1054,25.1054,1092,0
XLVI.US,D,20250819,000000,25.1498,25.17,25.141,25.141,411,0
XLVI.US,D,20250820,000000,25.26,25.26,25.2061,25.2061,1133,0
XLVI.US,D,20250821,000000,25.1872,25.2115,25.1746,25.1746,1844,0
XLVI.US,D,20250822,000000,25.3,25.34,25.28,25.281,6163,0
XLVI.US,D,20250825,000000,25.28,25.28,25.2085,25.2085,1241,0
XLVI.US,D,20250826,000000,25.23,25.2698,25.23,25.2698,3317,0
XLVI.US,D,20250827,000000,25.2565,25.28,25.25,25.2635,980,0
XLVI.US,D,20250829,000000,25.3,25.3189,25.3,25.3189,438,0
XLVI.US,D,20250902,000000,24.95,24.96,24.91,24.9543,1957,0
XLVI.US,D,20250903,000000,24.919,24.93,24.877,24.9287,4293,0
XLVI.US,D,20250904,000000,24.97,24.9963,24.96,24.9963,4161,0
XLVI.US,D,20250905,000000,25,25.05,25,25.0472,1907,0
XLVI.US,D,20250908,000000,25,25.0672,24.95,25.0672,1329,0
XLVI.US,D,20250909,000000,25.1,25.14,25.09,25.1193,2911,0
XLVI.US,D,20250910,000000,25.07,25.07,25,25.0505,2742,0
XLVI.US,D,20250911,000000,25.13,25.1888,25.13,25.1888,1684,0
XLVI.US,D,20250912,000000,25.17,25.175,25.1335,25.1347,3799,0
XLVI.US,D,20250915,000000,25.11,25.12,25.06,25.0698,1919,0
XLVI.US,D,20250916,000000,25.09,25.11,25.0651,25.0651,1985,0
XLVI.US,D,20250917,000000,25.14,25.17,25.1151,25.1151,1455,0
XLVI.US,D,20250918,000000,25.1,25.1506,25.1,25.1506,1472,0
XLVI.US,D,20250919,000000,25.16,25.18,25.1384,25.155,2600,0
XLVI.US,D,20250922,000000,25.075,25.22,25.075,25.1528,1617,0
XLVI.US,D,20250923,000000,25.2098,25.2165,25.1488,25.1715,2131,0
XLVI.US,D,20250924,000000,25.12,25.1217,25.08,25.1217,774,0
XLVI.US,D,20250925,000000,25,25,24.717,24.7877,1715,0
XLVI.US,D,20250926,000000,24.975,25.02,24.866,25.0153,2028,0
XLVI.US,D,20250929,000000,25.019,25.0644,25.019,25.0644,575,0
XLVI.US,D,20250930,000000,25.305,25.4888,25.15,25.4888,1949,0
XLVI.US,D,20251001,000000,25.3393,25.44,25.3393,25.41,5918,0
XLVI.US,D,20251002,000000,25.42,25.46,25.3999,25.4433,1358,0
XLVI.US,D,20251003,000000,25.48,25.53,25.48,25.51,1841,0
XLVI.US,D,20251006,000000,25.54,25.55,25.495,25.5074,4673,0
XLVI.US,D,20251007,000000,25.4972,25.513,25.4972,25.5055,2908,0
XLVI.US,D,20251008,000000,25.516,25.5495,25.51,25.535,1078,0
XLVI.US,D,20251009,000000,25.5549,25.57,25.54,25.5589,2283,0
