<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLGI.US,D,20251211,000000,25.325,25.435,25.2583,25.2583,12120,0
PLGI.US,D,20251212,000000,25.16,25.17,25.1153,25.1153,10100,0
PLGI.US,D,20251215,000000,25.04,25.0775,25.0196,25.0775,22888,0
PLGI.US,D,20251216,000000,25.129,25.129,24.98,25.0233,3524,0
PLGI.US,D,20251217,000000,25.18,25.205,24.87,24.88,51986,0
PLGI.US,D,20251218,000000,25.02,25.04,24.91,24.9239,696896,0
PLGI.US,D,20251219,000000,25.1,25.2199,25.08,25.115,334455,0
PLGI.US,D,20251222,000000,25.1704,25.2999,25.13,25.2213,343867,0
PLGI.US,D,20251223,000000,25.1001,25.2004,25.1001,25.2004,5168,0
PLGI.US,D,20251224,000000,25.29,25.315,25.29,25.3002,10157,0
PLGI.US,D,20251226,000000,25.23,25.29,25.23,25.2877,7906,0
PLGI.US,D,20251229,000000,25.28,25.33,25.19,25.33,235777,0
PLGI.US,D,20251230,000000,25.27,25.27,25.2001,25.2285,1413,0
PLGI.US,D,20251231,000000,25.16,25.16,25.0946,25.0946,20818,0
PLGI.US,D,20260102,000000,25.17,25.1997,25.17,25.1997,391,0
PLGI.US,D,20260105,000000,25.488,25.488,25.4551,25.4551,1646,0
PLGI.US,D,20260106,000000,25.48,25.56,25.48,25.545,67229,0
PLGI.US,D,20260107,000000,25.41,25.462,25.35,25.352,28380,0
PLGI.US,D,20260108,000000,25.42,25.604,25.42,25.5516,41263,0
PLGI.US,D,20260109,000000,25.63,25.64,25.59,25.6336,6182,0
PLGI.US,D,20260112,000000,25.63,25.63,25.5938,25.5938,1324,0
PLGI.US,D,20260113,000000,25.59,25.59,25.39,25.4488,14679,0
PLGI.US,D,20260114,000000,25.54,25.57,25.41,25.57,34131,0
PLGI.US,D,20260115,000000,25.56,26.01,25.55,25.5802,31847,0
PLGI.US,D,20260116,000000,25.35,25.4,25.31,25.3389,28700,0
PLGI.US,D,20260120,000000,25.12,25.1499,24.93,24.93,222701,0
PLGI.US,D,20260121,000000,25.32,25.5,25.16,25.392,30559,0
PLGI.US,D,20260122,000000,25.61,25.61,25.4501,25.4698,25383,0
PLGI.US,D,20260123,000000,25.44,25.47,25.3828,25.3828,9145,0
