<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBOG.US,5,20251205,160000,25.8594,25.8594,25.8594,25.8594,100,0
PBOG.US,5,20251218,181000,24.7,24.7,24.7,24.7,485,0
PBOG.US,5,20251218,182000,24.7,24.7,24.7,24.7,2383,0
PBOG.US,5,20251223,165500,25.01,25.01,25.0099,25.0099,200,0
PBOG.US,5,20260102,184000,25.64,25.64,25.64,25.64,100,0
PBOG.US,5,20260102,184500,25.67,25.67,25.65,25.65,432,0
PBOG.US,5,20260102,185000,25.65,25.66,25.65,25.66,454,0
PBOG.US,5,20260102,185500,25.66,25.68,25.66,25.68,952,0
PBOG.US,5,20260102,190000,25.69,25.7,25.69,25.7,936,0
PBOG.US,5,20260102,190500,25.69,25.69,25.66,25.66,633,0
PBOG.US,5,20260102,191000,25.67,25.68,25.67,25.68,419,0
PBOG.US,5,20260102,191500,25.7,25.7,25.666,25.7,1131,0
PBOG.US,5,20260102,192000,25.7,25.72,25.7,25.7,556,0
PBOG.US,5,20260102,192500,25.7,25.7,25.7,25.7,100,0
PBOG.US,5,20260102,193000,25.71,25.72,25.71,25.71,300,0
PBOG.US,5,20260102,193500,25.71,25.73,25.71,25.73,400,0
PBOG.US,5,20260102,194000,25.74,25.75,25.73,25.75,612,0
PBOG.US,5,20260102,194500,25.74,25.74,25.74,25.74,207,0
PBOG.US,5,20260102,195000,25.76,25.76,25.76,25.76,100,0
PBOG.US,5,20260102,195500,25.76,25.76,25.76,25.76,215,0
PBOG.US,5,20260102,200000,25.76,25.76,25.76,25.76,740,0
PBOG.US,5,20260102,200500,25.78,25.78,25.76,25.76,631,0
PBOG.US,5,20260102,201000,25.76,25.79,25.76,25.79,532,0
PBOG.US,5,20260102,201500,25.79,25.79,25.77,25.77,603,0
PBOG.US,5,20260102,202000,25.76,25.77,25.76,25.76,505,0
PBOG.US,5,20260102,202500,25.77,25.77,25.76,25.77,438,0
PBOG.US,5,20260102,203000,25.78,25.78,25.77,25.77,325,0
PBOG.US,5,20260102,203500,25.78,25.78,25.78,25.78,212,0
PBOG.US,5,20260102,204000,25.78,25.79,25.78,25.79,1037,0
PBOG.US,5,20260102,204500,25.8,25.8,25.79,25.8,1095,0
PBOG.US,5,20260102,211000,25.82,25.82,25.82,25.82,152,0
PBOG.US,5,20260102,211500,25.81,25.82,25.81,25.81,532,0
PBOG.US,5,20260102,212000,25.81,25.84,25.81,25.81,1885,0
PBOG.US,5,20260102,212500,25.81,25.85,25.81,25.81,3096,0
PBOG.US,5,20260102,213000,25.81,25.82,25.81,25.81,3501,0
PBOG.US,5,20260102,213500,25.81,25.82,25.81,25.81,4715,0
PBOG.US,5,20260102,214000,25.81,25.82,25.81,25.81,6550,0
PBOG.US,5,20260105,153000,26.06,26.06,26.06,26.06,143,0
PBOG.US,5,20260105,162500,25.46,25.46,25.46,25.46,103,0
PBOG.US,5,20260105,164000,25.59,25.59,25.59,25.59,100,0
PBOG.US,5,20260105,170000,25.54,25.54,25.54,25.54,100,0
PBOG.US,5,20260105,172000,25.67,25.67,25.67,25.67,101,0
PBOG.US,5,20260105,194000,25.77,25.77,25.77,25.77,668,0
PBOG.US,5,20260105,194500,25.77,25.86,25.77,25.85,885,0
