<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LINT.US,5,20251119,215500,26.12,26.39,26.115,26.23,3200,0
LINT.US,5,20251120,164000,28.17,28.17,28.17,28.17,400,0
LINT.US,5,20251120,173000,26.585,26.585,26.585,26.585,100,0
LINT.US,5,20251120,180500,25.32,25.32,25.32,25.32,100,0
LINT.US,5,20251124,162000,26.21,26.43,26.21,26.43,200,0
LINT.US,5,20251124,163500,26.64,26.64,26.64,26.64,100,0
LINT.US,5,20251124,164000,26.84,26.84,26.82,26.82,200,0
LINT.US,5,20251124,164500,26.7,26.7,26.7,26.7,100,0
LINT.US,5,20251124,165000,26.89,26.89,26.89,26.89,100,0
LINT.US,5,20251124,172000,27.1983,27.1983,27.1983,27.1983,1000,0
LINT.US,5,20251124,172500,27.22,27.22,27.22,27.22,100,0
LINT.US,5,20251124,174500,27.4,27.45,27.4,27.45,400,0
LINT.US,5,20251124,175500,27.34,27.34,27.34,27.34,200,0
LINT.US,5,20251124,191500,27.46,27.46,27.46,27.46,200,0
LINT.US,5,20251124,200500,27.27,27.28,27.27,27.28,300,0
LINT.US,5,20251124,202500,27.09,27.11,27.09,27.11,200,0
LINT.US,5,20251124,215000,26.96,26.96,26.96,26.96,100,0
LINT.US,5,20251125,153500,26.53,26.53,26.53,26.53,110,0
LINT.US,5,20251125,183000,27.2559,27.2559,27.2559,27.2559,187,0
LINT.US,5,20251125,203500,26.91,26.91,26.9,26.91,3000,0
LINT.US,5,20251125,204000,26.9,26.9,26.9,26.9,107,0
LINT.US,5,20251125,213500,27.13,27.13,27.13,27.13,100,0
LINT.US,5,20251126,161000,28.001,28.001,28.001,28.001,200,0
LINT.US,5,20251126,190500,28.67,28.67,28.67,28.67,100,0
LINT.US,5,20251126,194000,28.5315,28.5315,28.5315,28.5315,3001,0
LINT.US,5,20251128,153000,29.52,30.03,29.52,30.03,1045,0
LINT.US,5,20251128,154000,30.5,31.02,30.5,31.02,550,0
LINT.US,5,20251128,160500,31.7599,31.7599,31.7599,31.7599,100,0
LINT.US,5,20251128,161000,31.34,31.35,31.165,31.165,2300,0
LINT.US,5,20251128,161500,31.19,31.19,31.19,31.19,120,0
