<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STRC.US,D,20250902,000000,97.5,98.1,97.2,97.48,688375,0
STRC.US,D,20250903,000000,98.43,98.43,97.55,97.67,606020,0
STRC.US,D,20250904,000000,97.89,97.9392,97.34,97.46,631015,0
STRC.US,D,20250905,000000,97.77,97.97,97.5015,97.6,410133,0
STRC.US,D,20250908,000000,97.8,97.8999,97.45,97.56,375228,0
STRC.US,D,20250909,000000,97.51,97.69,97.19,97.33,318255,0
STRC.US,D,20250910,000000,97.54,97.65,97.3,97.4,313553,0
STRC.US,D,20250911,000000,97.5,97.54,97.25,97.37,308674,0
STRC.US,D,20250912,000000,97.63,97.79,97.134,97.25,472332,0
STRC.US,D,20250915,000000,96.8,97.2156,96.61,96.9,333918,0
STRC.US,D,20250916,000000,97.08,97.5,96.62,96.95,281533,0
STRC.US,D,20250917,000000,96.9,97.34,96.8803,97.26,249794,0
STRC.US,D,20250918,000000,97.49,98.1,97.1001,97.5,328268,0
STRC.US,D,20250919,000000,97.64,97.74,97.4,97.7,283477,0
STRC.US,D,20250922,000000,97.75,97.75,97.51,97.55,231881,0
STRC.US,D,20250923,000000,97.5,97.75,97.4,97.4,214288,0
STRC.US,D,20250924,000000,97.75,97.75,97.5,97.5,134630,0
STRC.US,D,20250925,000000,97.49,97.49,96.88,96.92,533133,0
STRC.US,D,20250926,000000,97.05,97.29,96.96,97,306829,0
STRC.US,D,20250929,000000,97.31,97.345,96.95,97.05,277420,0
STRC.US,D,20250930,000000,97.2,97.46,97.0401,97.06,423086,0
STRC.US,D,20251001,000000,97.88,98.25,97.4,97.98,620606,0
STRC.US,D,20251002,000000,99.13,100,98.58,98.97,989578,0
STRC.US,D,20251003,000000,99.25,99.4,98.65,99,763727,0
STRC.US,D,20251006,000000,99.37,99.6,99.0329,99.15,856743,0
STRC.US,D,20251007,000000,99.3,99.4,98.55,98.7,609941,0
STRC.US,D,20251008,000000,99,99.03,98.58,98.9,417326,0
STRC.US,D,20251009,000000,99.2,99.2792,98.66,98.75,504709,0
STRC.US,D,20251010,000000,99.05,99.19,98.63,98.63,1054323,0
STRC.US,D,20251013,000000,99.14,99.19,98.901,99.03,682402,0
STRC.US,D,20251014,000000,99.04,99.05,98.78,98.8,901128,0
STRC.US,D,20251015,000000,98.35,98.5874,98.2,98.38,567955,0
STRC.US,D,20251016,000000,98.57,98.6499,97.08,97.3,812977,0
STRC.US,D,20251017,000000,97.3,98.05,96.75,97.4,954689,0
STRC.US,D,20251020,000000,98.5,98.8,98.2,98.62,600672,0
STRC.US,D,20251021,000000,98.65,98.7586,98.43,98.625,373609,0
STRC.US,D,20251022,000000,98.65,98.7,97.9,98.12,560327,0
STRC.US,D,20251023,000000,98.53,98.67,98.15,98.67,481498,0
STRC.US,D,20251024,000000,98.85,98.8966,98.61,98.71,534409,0
STRC.US,D,20251027,000000,98.93,98.93,98.31,98.5,706138,0
STRC.US,D,20251028,000000,98.79,98.8399,98.495,98.6,590990,0
STRC.US,D,20251029,000000,98.81,98.9,98.6,98.72,886646,0
STRC.US,D,20251030,000000,98.98,99.02,98.77,98.89,994505,0
STRC.US,D,20251031,000000,99.64,99.64,99.14,99.38,1449503,0
STRC.US,D,20251103,000000,99.77,99.85,99.49,99.61,1232974,0
STRC.US,D,20251104,000000,99.7,100.14,99.55,99.74,1518002,0
STRC.US,D,20251105,000000,100.19,100.19,99.88,100.01,1015992,0
STRC.US,D,20251106,000000,100.18,100.2,99.8548,99.89,1218828,0
STRC.US,D,20251107,000000,100.04,100.05,99.16,99.18,1508021,0
STRC.US,D,20251110,000000,99.84,100.03,99.7,99.96,1214940,0
STRC.US,D,20251111,000000,100.07,100.07,99.94,100,766466,0
STRC.US,D,20251112,000000,100.02,100.1,99.95,100.01,1776438,0
