<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AALG.US,D,20250714,000000,13.28,13.66,13.18,13.66,1446,0
AALG.US,D,20250715,000000,13.82,13.849,13.2,13.2,5756,0
AALG.US,D,20250716,000000,13.08,13.4179,12.85,13.4179,7698,0
AALG.US,D,20250717,000000,14.6391,14.6391,13.791,14.09,9424,0
AALG.US,D,20250718,000000,14.009,14.009,13.5076,13.8761,4705,0
AALG.US,D,20250721,000000,14.089,14.1,13.47,13.47,5324,0
AALG.US,D,20250722,000000,13.5819,13.8678,13.54,13.8678,3672,0
AALG.US,D,20250723,000000,14.08,14.43,13.98,14.2189,9091,0
AALG.US,D,20250724,000000,12.13,12.31,11.405,11.5286,70193,0
AALG.US,D,20250725,000000,11.69,11.96,11.57,11.5866,47110,0
AALG.US,D,20250728,000000,11.48,11.79,11.4281,11.6647,21224,0
AALG.US,D,20250729,000000,11.66,11.77,11.41,11.42,20913,0
AALG.US,D,20250730,000000,11.25,11.745,11.25,11.5739,5228,0
AALG.US,D,20250731,000000,11.61,11.61,11.29,11.5256,9881,0
AALG.US,D,20250801,000000,10.88,10.89,10.405,10.5852,6409,0
AALG.US,D,20250804,000000,11.04,11.0803,10.85,11.061,6777,0
AALG.US,D,20250805,000000,10.9379,11.7759,10.9379,11.7759,4065,0
AALG.US,D,20250806,000000,11.5824,12,11.5824,11.9759,3231,0
AALG.US,D,20250807,000000,11.9,11.9406,11.8,11.9406,6106,0
AALG.US,D,20250808,000000,11.73,12.05,11.6839,11.6839,2894,0
AALG.US,D,20250811,000000,11.92,11.95,11.61,11.61,2523,0
AALG.US,D,20250812,000000,12.88,14.4244,12.8,14.4244,25654,0
AALG.US,D,20250813,000000,14.46,14.9271,14.29,14.7204,12735,0
AALG.US,D,20250814,000000,13.99,14.0303,13.76,14.0303,26432,0
AALG.US,D,20250815,000000,14.515,14.7806,14.43,14.7806,16251,0
AALG.US,D,20250818,000000,14.63,15.38,14.63,14.7966,4509,0
AALG.US,D,20250819,000000,15.215,15.22,14.9128,14.9128,2992,0
AALG.US,D,20250820,000000,14.5,14.5,13.88,13.9823,15359,0
AALG.US,D,20250821,000000,13.5,13.53,13.32,13.4516,2720,0
AALG.US,D,20250822,000000,14.18,15.52,14.18,15.5061,23055,0
AALG.US,D,20250825,000000,14.95,14.95,14.14,14.291,8097,0
AALG.US,D,20250826,000000,14.21,14.655,14.21,14.655,2487,0
AALG.US,D,20250827,000000,14.96,14.96,14.53,14.57,2356,0
AALG.US,D,20250828,000000,14.76,14.831,14.5,14.8228,13236,0
AALG.US,D,20250829,000000,14.82,15.116,14.43,15.116,4802,0
AALG.US,D,20250902,000000,14.86,15.31,14.05,15.1172,4592,0
AALG.US,D,20250903,000000,15.3,16.52,15.18,15.217,6866,0
AALG.US,D,20250904,000000,15.34,15.48,13.9045,13.9045,19316,0
AALG.US,D,20250905,000000,13.95,14.6,13.95,14.3381,8997,0
AALG.US,D,20250908,000000,14.17,14.52,13.94,14.046,2268,0
AALG.US,D,20250909,000000,13.93,13.95,13.5,13.6267,3622,0
AALG.US,D,20250910,000000,13.5,14.11,13.4593,13.7553,7931,0
AALG.US,D,20250911,000000,13.905,14.3,13.36,14.0495,26887,0
AALG.US,D,20250912,000000,14.2162,14.43,13.9406,13.9406,7695,0
AALG.US,D,20250915,000000,13.91,13.91,13.02,13.115,12597,0
AALG.US,D,20250916,000000,13.08,13.08,12.41,12.8658,22033,0
AALG.US,D,20250917,000000,13.18,13.59,12.9696,12.9696,16764,0
AALG.US,D,20250918,000000,13.07,13.1913,13.01,13.1581,4159,0
AALG.US,D,20250919,000000,13.07,13.07,12.735,12.8924,14424,0
AALG.US,D,20250922,000000,12.539,12.6599,11.97,12.6599,27758,0
AALG.US,D,20250923,000000,12.75,12.9275,12.37,12.3862,20307,0
AALG.US,D,20250924,000000,12.4,12.4,11.8881,11.8881,27078,0
AALG.US,D,20250925,000000,11.52,11.52,10.75,10.7691,29771,0
AALG.US,D,20250926,000000,10.78,10.8308,10.53,10.6123,75209,0
AALG.US,D,20250929,000000,10.73,10.96,10.4,10.7309,17569,0
AALG.US,D,20250930,000000,10.71,10.71,10.16,10.4591,21730,0
AALG.US,D,20251001,000000,10.54,10.694,10.32,10.5578,17783,0
AALG.US,D,20251002,000000,10.601,11.13,10.56,10.7996,55597,0
AALG.US,D,20251003,000000,11.03,11.19,10.72,11.19,24496,0
AALG.US,D,20251006,000000,11.24,11.67,10.8201,11.52,50610,0
AALG.US,D,20251007,000000,11.74,11.74,10.955,11.2288,26188,0
AALG.US,D,20251008,000000,11.24,11.86,11.05,11.4801,53306,0
AALG.US,D,20251009,000000,12.75,12.8,10.97,11.15,106425,0
AALG.US,D,20251010,000000,11.31,11.9,10.8,10.9079,95558,0
AALG.US,D,20251013,000000,11.37,11.53,11.1845,11.3196,39916,0
AALG.US,D,20251014,000000,11.01,12.349,10.96,12.1855,50687,0
AALG.US,D,20251015,000000,12.23,12.87,12.16,12.78,47555,0
AALG.US,D,20251016,000000,12.91,12.91,11.24,11.56,94588,0
AALG.US,D,20251017,000000,11.49,11.75,11.432,11.53,56352,0
AALG.US,D,20251020,000000,11.67,12.2,11.56,12.0884,26592,0
AALG.US,D,20251021,000000,12.05,12.52,11.92,12.4776,21920,0
AALG.US,D,20251022,000000,12.26,12.28,11.76,11.84,42723,0
AALG.US,D,20251023,000000,13.25,13.74,12.5709,13.19,100611,0
AALG.US,D,20251024,000000,13.72,15.5,13.5064,15.3171,45981,0
AALG.US,D,20251027,000000,15.28,15.4,14.35,14.45,48941,0
AALG.US,D,20251028,000000,14.55,14.55,12.905,12.9878,23740,0
AALG.US,D,20251029,000000,12.93,13.52,12.93,13.5131,7396,0
AALG.US,D,20251030,000000,13.32,13.7,13.018,13.1082,14184,0
AALG.US,D,20251031,000000,12.94,13.8175,12.86,13.8175,5930,0
AALG.US,D,20251103,000000,13.65,14.5299,13.65,14.2251,11148,0
AALG.US,D,20251104,000000,13.5579,13.85,12.5201,12.7484,18073,0
AALG.US,D,20251105,000000,12.98,14.55,12.98,14.3106,18742,0
AALG.US,D,20251106,000000,14.08,14.46,13.32,13.7495,22322,0
